Name                                               Project              Compat              Latest               Kind         Platform
icu_properties->icu_locale_core                    2.1.1                2.2.0               2.2.0                Normal       ---
icu_properties->icu_properties_data                2.1.2                2.2.0               2.2.0                Normal       ---
icu_properties->icu_provider                       2.1.1                2.2.0               2.2.0                Normal       ---
icu_properties->zerotrie                           0.2.3                0.2.4               0.2.4                Normal       ---
icu_properties->zerovec                            0.11.5               0.11.6              0.11.6               Normal       ---
icu_provider->displaydoc                           0.2.5                0.2.6               0.2.6                Normal       ---
icu_provider->icu_locale_core                      2.1.1                2.2.0               2.2.0                Normal       ---
icu_provider->writeable                            0.6.2                0.6.3               0.6.3                Normal       ---
icu_provider->yoke                                 0.8.1                0.8.3               0.8.3                Normal       ---
icu_provider->zerofrom                             0.1.6                0.1.8               0.1.8                Normal       ---
icu_provider->zerotrie                             0.2.3                0.2.4               0.2.4                Normal       ---
icu_provider->zerovec                              0.11.5               0.11.6              0.11.6               Normal       ---
idna->idna_adapter                                 1.2.1                1.2.2               1.2.2                Normal       ---
idna->smallvec                                     1.15.1               1.15.2              1.15.2               Normal       ---
idna_adapter->icu_normalizer                       2.1.1                2.2.0               2.2.0                Normal       ---
idna_adapter->icu_properties                       2.1.2                2.2.0               2.2.0                Normal       ---
indexmap->equivalent                               1.0.2                ---                 Removed              Normal       ---
indexmap->equivalent                               1.0.2                Removed             Removed              Normal       ---
indexmap->hashbrown                                0.16.1               0.17.1              0.17.1               Normal       ---
indexmap->hashbrown                                0.16.1               0.17.1              Removed              Normal       ---
indexmap->hashbrown                                0.16.1               Removed             Removed              Normal       ---
indexmap->serde                                    1.0.228              ---                 Removed              Development  ---
indexmap->serde                                    1.0.228              Removed             Removed              Development  ---
indexmap->serde_core                               1.0.228              ---                 Removed              Normal       ---
indexmap->serde_core                               1.0.228              Removed             Removed              Normal       ---
jni->cesu8                                         1.1.0                Removed             Removed              Normal       ---
jni->jni-macros                                    0.22.2               0.22.4              0.22.4               Normal       ---
jni->jni-sys                                       0.3.0                0.4.1               0.4.1                Normal       ---
